Tm,G,PO,A,E,DP,Fld%,PB,SB,CS,CS%,season
Lotte Giants,144,3813,1403,85,123,0.984,8,101,44,30%,2021
Doosan Bears,144,3808,1296,89,120,0.983,10,83,48,37%,2021
Samsung Lions,144,3777,1335,88,130,0.983,5,61,26,30%,2021
LG Twins,144,3817,1481,91,147,0.983,12,98,40,29%,2021
SSG Landers,144,3830,1409,102,123,0.981,12,105,46,30%,2021
NC Dinos,144,3770,1292,111,105,0.979,5,84,40,32%,2021
Kia Tigers,144,3807,1368,110,139,0.979,10,92,43,32%,2021
KT Wiz,144,3792,1466,112,133,0.979,7,93,31,25%,2021
Hanwha Eagles,144,3776,1262,120,121,0.977,7,111,41,27%,2021
Kiwoom Heroes,144,3790,1532,129,152,0.976,5,85,35,29%,2021
League Totals,1440,37980,13844,1037,1293,0.98,81,913,394,30%,2021
LG Twins,144,3864,1394,89,139,0.983,7,113,26,19%,2022
KT Wiz,144,3862,1425,97,132,0.982,8,69,26,27%,2022
Kia Tigers,144,3839,1378,107,111,0.98,8,64,41,39%,2022
SSG Landers,144,3904,1455,109,138,0.98,4,107,31,22%,2022
Lotte Giants,144,3842,1403,114,124,0.979,11,99,39,28%,2022
Kiwoom Heroes,144,3889,1549,118,134,0.979,7,85,42,33%,2022
Doosan Bears,144,3838,1394,117,128,0.978,13,95,34,26%,2022
Samsung Lions,144,3861,1448,118,125,0.978,6,51,35,41%,2022
NC Dinos,144,3860,1360,127,115,0.976,9,60,42,41%,2022
Hanwha Eagles,144,3805,1406,134,111,0.975,8,121,51,30%,2022
League Totals,1440,38564,14212,1130,1257,0.979,81,864,367,30%,2022
Kia Tigers,144,3807,1356,102,137,0.981,12,98,35,26%,2023
KT Wiz,144,3861,1354,99,117,0.981,3,111,23,17%,2023
Samsung Lions,144,3835,1403,103,111,0.981,6,86,32,27%,2023
Lotte Giants,144,3817,1365,103,111,0.981,13,91,46,34%,2023
Hanwha Eagles,144,3875,1359,109,106,0.98,10,94,48,34%,2023
Kiwoom Heroes,144,3865,1424,114,125,0.979,9,129,45,26%,2023
Doosan Bears,144,3854,1300,114,108,0.978,12,60,40,40%,2023
SSG Landers,144,3865,1503,119,163,0.978,11,127,56,31%,2023
NC Dinos,144,3844,1339,130,126,0.976,7,96,42,30%,2023
LG Twins,144,3880,1341,128,131,0.976,10,115,30,21%,2023
League Totals,1440,38503,13744,1121,1235,0.979,93,1007,397,28%,2023
Samsung Lions,144,3848,1252,81,105,0.984,8,114,50,30%,2024
Doosan Bears,144,3851,1263,84,109,0.984,15,97,28,22%,2024
LG Twins,144,3831,1348,102,135,0.981,10,126,40,24%,2024
Kiwoom Heroes,144,3818,1309,104,129,0.98,10,117,40,25%,2024
Hanwha Eagles,144,3824,1324,105,132,0.98,12,110,43,28%,2024
NC Dinos,144,3827,1312,108,115,0.979,8,86,51,37%,2024
KT Wiz,144,3853,1279,116,110,0.978,14,142,38,21%,2024
SSG Landers,144,3809,1336,119,123,0.977,11,119,40,25%,2024
Lotte Giants,144,3842,1411,123,143,0.977,3,89,36,29%,2024
Kia Tigers,144,3864,1400,146,133,0.973,10,108,31,22%,2024
League Totals,1440,38367,13234,1088,1234,0.979,101,1108,397,26%,2024
Hanwha Eagles,144,3871,1325,86,100,0.984,11,96,39,29%,2025
Samsung Lions,144,3806,1389,87,122,0.984,12,107,26,20%,2025
LG Twins,144,3838,1438,92,137,0.983,7,95,23,19%,2025
KT Wiz,144,3835,1458,103,105,0.981,6,128,32,20%,2025
SSG Landers,144,3850,1398,106,139,0.98,4,110,46,29%,2025
Lotte Giants,144,3840,1380,111,117,0.979,13,104,23,18%,2025
NC Dinos,144,3810,1381,116,119,0.978,7,80,36,31%,2025
Doosan Bears,144,3840,1363,120,123,0.977,12,103,43,29%,2025
Kia Tigers,144,3824,1422,123,127,0.977,8,111,41,27%,2025
Kiwoom Heroes,144,3807,1317,119,111,0.977,13,107,53,33%,2025
League Totals,1440,38321,13871,1063,1200,0.98,93,1041,362,26%,2025