AVG,AVG_adj,BB,BB9,BB9_adj,ERA,ERA_adj,G,HLD,HR,HR_adj,IP,K9,K9_adj,L,OPS,OPS_adj,PA,RBI,SO,SV,W,WHIP,WHIP_adj,age,player,prev_league,raw_stats,role,season,section,team
0.253,,62.0,,,,,139.0,,22.0,,,,,,0.797,,523.0,76.0,124.0,,,,,36.0,Park Dong-won,,".253 AVG, 139 G, 523 PA, 22 HR, 76 RBI, 62 BB, 124 SO, .797 OPS (FA in '26)",Catcher,2026,Batters,LG Twins
0.313,,61.0,,,,,116.0,,31.0,,,,,,0.988,,499.0,95.0,62.0,,,,,31.0,Austin,,".313 AVG, 116 G, 499 PA, 31 HR, 95 RBI, 61 BB, 62 SO, .988 OPS",1B,2026,Batters,LG Twins
0.313,,62.0,,,,,135.0,,1.0,,,,,,0.777,,538.0,61.0,57.0,,,,,30.0,Shin Min-jae,,".313 AVG, 135 G, 538 PA, 1 HR, 61 RBI, 62 BB, 57 SO, .777 OPS (FA in '28)",2B,2026,Batters,LG Twins
0.276,,79.0,,,,,141.0,,24.0,,,,,,0.831,,607.0,108.0,108.0,,,,,26.0,Moon Bo-gyeong,,".276 AVG, 141 G, 607 PA, 24 HR, 108 RBI, 79 BB, 108 SO, .831 OPS",3B,2026,Batters,LG Twins
0.253,,37.0,,,,,127.0,,16.0,,,,,,0.744,,472.0,62.0,115.0,,,,,36.0,Oh Ji-hwan,,".253 AVG, 127 G, 472 PA, 16 HR, 62 RBI, 37 BB, 115 SO, .744 OPS (FA in '29)",SS,2026,Batters,LG Twins
0.305,,54.0,,,,,135.0,,3.0,,,,,,0.75,,542.0,70.0,59.0,,,,,29.0,Moon Seong-ju,,".305 AVG, 135 G, 542 PA, 3 HR, 70 RBI, 54 BB, 59 SO, .750 OPS",LF,2026,Batters,LG Twins
0.276,,68.0,,,,,144.0,,3.0,,,,,,0.725,,544.0,43.0,94.0,,,,,36.0,Park Hae-min,,".276 AVG, 144 G, 544 PA, 3 HR, 43 RBI, 68 BB, 94 SO, .725 OPS (FA in '29)",CF,2026,Batters,LG Twins
0.287,,29.0,,,,,51.0,,1.0,,,,,,0.727,,215.0,16.0,40.0,,,,,33.0,Hong Chang-ki,,".287 AVG, 51 G, 215 PA, 1 HR, 16 RBI, 29 BB, 40 SO, .727 OPS (FA in '26)",RF,2026,Batters,LG Twins
,,54.0,3.0337078651685396,,4.93,,29.0,,,,160.2,8.764044943820226,,13.0,,,,,156.0,,11.0,1.48,,32.0,Park Se-woong,,"4.93 ERA, 29 G, 11 W, 13 L, 160.2 IP, 54 BB, 156 SO, 1.48 WHIP (FA in '27)",Starter,2026,Pitchers,Lotte Giants
,,50.0,3.2822757111597376,,3.87,,28.0,,,,137.1,7.614879649890591,,7.0,,,,,116.0,,3.0,1.41,,29.0,Na Gyun-an,,"3.87 ERA, 28 G, 3 W, 7 L, 137.1 IP, 50 BB, 116 SO, 1.41 WHIP",Starter,2026,Pitchers,Lotte Giants
,,56.0,5.786452353616533,,5.26,,20.0,,,,87.1,6.303099885189438,,5.0,,,,,61.0,,2.0,1.83,,24.0,Lee Min-seok,,"5.26 ERA, 20 G, 2 W, 5 L, 87.1 IP, 56 BB, 61 SO, 1.83 WHIP",Starter,2026,Pitchers,Lotte Giants
,,7.0,3.2642487046632125,,9.15,,7.0,,,,19.3,8.393782383419689,,2.0,,,,,18.0,,0.0,1.68,,27.0,Elvin Rodriguez,MLB,"9.15 ERA, 7G, 0W, 2L, 19.3 IP, 7 BB, 18 SO, 1.68 WHIP (MLB)",Starter,2026,Pitchers,Lotte Giants
,,12.0,3.6860068259385663,,4.6,,8.0,,,,29.3,7.679180887372014,,3.0,,,,,25.0,,1.0,1.6,,30.0,Jeremy Beasly,MLB,"4.60 ERA, 8G, 1W, 3L, 29.3 IP, 12 BB, 25 SO, 1.60 WHIP (MLB)",Starter,2026,Pitchers,Lotte Giants
,,11.0,3.09375,,3.09,,25.0,3.0,,,32.0,10.96875,,2.0,,,,,39.0,,0.0,1.09,,22.0,Hong Min-gi,,"3.09 ERA, 25 G, 0 W, 2 L, 3 HLD, 32.0 IP, 11 BB, 39 SO, 1.09 WHIP",Bullpen,2026,Pitchers,Lotte Giants
,,21.0,2.625,,4.0,,67.0,4.0,,,72.0,4.5,,2.0,,,,,36.0,,2.0,1.25,,32.0,Kim Kang-hyun,,"4.00 ERA, 67 G, 2 W, 2 L, 4 HLD, 72.0 IP, 21 BB, 36 SO, 1.25 WHIP",Bullpen,2026,Pitchers,Lotte Giants
,,22.0,2.865412445730825,,5.32,,51.0,3.0,,,69.1,6.512301013024603,,3.0,,,,,50.0,1.0,3.0,1.41,,28.0,Park Jin,,"5.32 ERA, 51 G, 3 W, 3 L, 1 SV, 3 HLD, 69.1 IP, 22 BB, 50 SO, 1.41 WHIP",Bullpen,2026,Pitchers,Lotte Giants
,,16.0,2.6617375231053604,,5.3,,49.0,17.0,,,54.1,10.314232902033272,,4.0,,,,,62.0,1.0,4.0,1.21,,26.0,Choi Jun-yong,,"5.30 ERA, 49 G, 4 W, 4 L, 1 SV, 17 HLD, 54.1 IP, 16 BB, 62 SO, 1.21 WHIP",Bullpen,2026,Pitchers,Lotte Giants
,,26.0,4.9576271186440675,,3.97,,82.0,12.0,,,47.2,8.961864406779661,,0.0,,,,,47.0,,2.0,1.26,,26.0,Jung Hyun-su,,"3.97 ERA, 82 G, 2 W, 0 L, 12 HLD, 47.2 IP, 26 BB, 47 SO, 1.26 WHIP",Bullpen,2026,Pitchers,Lotte Giants
,,20.0,6.666666666666667,,7.67,,31.0,,,,27.0,14.666666666666666,,2.0,,,,,44.0,,1.0,1.7,,28.0,Yoon Seong-bin,,"7.67 ERA, 31 G, 1 W, 2 L, 27.0 IP, 20 BB, 44 SO, 1.70 WHIP",Bullpen,2026,Pitchers,Lotte Giants
,,6.0,4.462809917355372,,8.03,,11.0,1.0,,,12.1,8.181818181818182,,2.0,,,,,11.0,,1.0,2.19,,22.0,Park Jun-woo,,"8.03 ERA, 11 G, 1 W, 2 L, 1 HLD, 12.1 IP, 6 BB, 11 SO, 2.19 WHIP",Bullpen,2026,Pitchers,Lotte Giants
,,28.0,3.6,,4.24,,75.0,21.0,,,70.0,7.071428571428571,,3.0,,,,,55.0,,8.0,1.43,,28.0,Jung Cheol-won,,"4.24 ERA, 75 G, 8 W, 3 L, 21 HLD, 70.0 IP, 28 BB, 55 SO, 1.43 WHIP",Setup,2026,Pitchers,Lotte Giants
,,33.0,4.9335548172757475,,2.67,,53.0,,,,60.2,10.315614617940199,,3.0,,,,,69.0,32.0,4.0,1.5,,34.0,Kim Won-jung,,"2.67 ERA, 53 G, 4 W, 3 L, 32 SV, 60.2 IP, 33 BB, 69 SO, 1.50 WHIP (FA in '28)",Closer,2026,Pitchers,Lotte Giants
0.274,,26.0,,,,,110.0,,5.0,,,,,,0.735,,350.0,38.0,66.0,,,,,35.0,Yu Kang-nam,,".274 AVG, 110 G, 350 PA, 5 HR, 38 RBI, 26 BB, 66 SO, .735 OPS (FA in '26)",Catcher,2026,Batters,Lotte Giants
0.229,,55.0,,,,,105.0,,9.0,,,,,,0.707,,392.0,44.0,65.0,,,,,25.0,Na Seung-yeop,,".229 AVG, 105 G, 392 PA, 9 HR, 44 RBI, 55 BB, 65 SO, .707 OPS",1B,2026,Batters,Lotte Giants
0.271,,56.0,,,,,121.0,,4.0,,,,,,0.7,,538.0,45.0,83.0,,,,,27.0,Ko Seung-min,,".271 AVG, 121 G, 538 PA, 4 HR, 45 RBI, 56 BB, 83 SO, .700 OPS",2B,2026,Batters,Lotte Giants
,,,,,,,,,,,,,,,,,,,,,,,,28.0,Han Dong-hee,,No stats,3B,2026,Batters,Lotte Giants
0.287,,22.0,,,,,101.0,,5.0,,,,,,0.715,,369.0,34.0,63.0,,,,,28.0,Jeon Min-jae,,".287 AVG, 101 G, 369 PA, 5 HR, 34 RBI, 22 BB, 63 SO, .715 OPS",SS,2026,Batters,Lotte Giants
0.256,,18.0,,,,,79.0,,1.0,,,,,,0.632,,273.0,22.0,46.0,,,,,30.0,Hwang Seong-bin,,".256 AVG, 79 G, 273 PA, 1 HR, 22 RBI, 18 BB, 46 SO, .632 OPS",CF,2026,Batters,Lotte Giants
0.326,,58.0,,,,,144.0,,13.0,,,,,,0.861,,643.0,107.0,66.0,,,,,30.0,Reyes,,".326 AVG, 144 G, 643 PA, 13 HR, 107 RBI, 58 BB, 66 SO, .861 OPS",LF,2026,Batters,Lotte Giants
0.282,,49.0,,,,,97.0,,9.0,,,,,,0.819,,399.0,53.0,65.0,,,,,24.0,Yoon Dong-hee,,".282 AVG, 97 G, 399 PA, 9 HR, 53 RBI, 49 BB, 65 SO, .819 OPS",RF,2026,Batters,Lotte Giants
0.293,,44.0,,,,,114.0,,8.0,,,,,,0.789,,472.0,70.0,71.0,,,,,41.0,Jeon Jun-woo,,".293 AVG, 114 G, 472 PA, 8 HR, 70 RBI, 44 BB, 71 SO, .789 OPS",DH,2026,Batters,Lotte Giants
,,41.0,3.382218148487626,,4.2,,19.0,,,,109.1,8.826764436296976,,7.0,,,,,107.0,,5.0,1.25,,27.0,Gwak Been,,"4.20 ERA, 19 G, 5 W, 7 L, 109.1 IP, 41 BB, 107 SO, 1.25 WHIP",Starter,2026,Pitchers,Doosan Bears
,,36.0,2.7906976744186047,,4.41,,23.0,,,,116.1,5.503875968992248,,7.0,,,,,71.0,,5.0,1.35,,25.0,Choi Seung-yong,,"4.41 ERA, 23 G, 5 W, 7 L, 116.1 IP, 36 BB, 71 SO, 1.35 WHIP",Starter,2026,Pitchers,Doosan Bears
,,34.0,3.9637305699481864,,4.4,,17.0,,,,77.2,6.178756476683938,,3.0,,,,,53.0,,3.0,1.36,,,Choi Min-seok,,"4.40 ERA, 17 G, 3 W, 3 L, 77.2 IP, 34 BB, 53 SO, 1.36 WHIP",Starter,2026,Pitchers,Doosan Bears
,,39.0,1.9943181818181819,,2.81,,30.0,,,,176.0,7.9772727272727275,,8.0,,,,,156.0,,10.0,1.05,,28.0,Logue,,"2.81 ERA, 30 G, 10 W, 8 L, 176.0 IP, 39 BB, 156 SO, 1.05 WHIP",Starter,2026,Pitchers,Doosan Bears
,,12.0,2.477064220183486,,3.09,,21.0,,,,43.6,4.541284403669724,,1.0,,,,,22.0,,5.0,1.15,,31.0,Chris Flexen,MLB,"3.09 ERA, 21G, 5W, 1L, 43.6 IP, 12 BB, 22 SO, 1.15 WHIP (MLB)",Starter,2026,Pitchers,Doosan Bears
,,39.0,5.302114803625377,,4.05,,73.0,14.0,,,66.2,9.788519637462235,,4.0,,,,,72.0,,4.0,1.53,,29.0,Lee Young-ha,,"4.05 ERA, 73 G, 4 W, 4 L, 14 HLD, 66.2 IP, 39 BB, 72 SO, 1.53 WHIP",Bullpen,2026,Pitchers,Doosan Bears
,,29.0,4.35,,2.85,,54.0,5.0,,,60.0,5.4,,4.0,,,,,36.0,,2.0,1.4,,27.0,Park Sin-ji,,"2.85 ERA, 54 G, 2 W, 4 L, 5 HLD, 60.0 IP, 29 BB, 36 SO, 1.40 WHIP",Bullpen,2026,Pitchers,Doosan Bears
,,10.0,6.923076923076923,,6.23,,22.0,4.0,,,13.0,6.230769230769231,,0.0,,,,,9.0,,0.0,1.62,,23.0,Lee Byeong-heon,,"6.23 ERA, 22 G, 0 W, 0 L, 4 HLD, 13.0 IP, 10 BB, 9 SO, 1.62 WHIP",Bullpen,2026,Pitchers,Doosan Bears
,,13.0,3.633540372670807,,6.34,,39.0,5.0,,,32.2,10.62111801242236,,5.0,,,,,38.0,,2.0,1.65,,25.0,Choi Ji-gang,,"6.34 ERA, 39 G, 2 W, 5 L, 5 HLD, 32.2 IP, 13 BB, 38 SO, 1.65 WHIP",Bullpen,2026,Pitchers,Doosan Bears
,,8.0,3.1168831168831166,,4.24,,19.0,,,,23.1,7.402597402597402,,0.0,,,,,19.0,1.0,0.0,1.16,,27.0,Yang Jae-hoon,,"4.24 ERA, 19 G, 0 W, 0 L, 1 SV, 23.1 IP, 8 BB, 19 SO, 1.16 WHIP",Bullpen,2026,Pitchers,Doosan Bears
,,38.0,3.196261682242991,,4.71,,47.0,9.0,,,107.0,5.214953271028038,,7.0,,,,,62.0,,4.0,1.34,,32.0,Choi Won-jun,,"4.71 ERA, 47 G, 4 W, 7 L, 9 HLD, 107.0 IP, 38 BB, 62 SO, 1.34 WHIP",Bullpen,2026,Pitchers,Doosan Bears
,,21.0,3.043478260869565,,3.75,,73.0,16.0,,,62.1,8.26086956521739,,4.0,,,,,57.0,2.0,4.0,1.27,,28.0,Park Chi-guk,,"3.75 ERA, 73 G, 4 W, 4 L, 2 SV, 16 HLD, 62.1 IP, 21 BB, 57 SO, 1.27 WHIP (FA in '26)",Setup,2026,Pitchers,Doosan Bears
,,31.0,4.2208774583963695,,3.53,,64.0,,,,66.1,10.75642965204236,,5.0,,,,,79.0,24.0,4.0,1.18,,21.0,Kim Taek-yeon,,"3.53 ERA, 64 G, 4 W, 5 L, 24 SV, 66.1 IP, 31 BB, 79 SO, 1.18 WHIP",Closer,2026,Pitchers,Doosan Bears
0.337,,50.0,,,,,130.0,,20.0,,,,,,0.939,,517.0,89.0,63.0,,,,,39.0,Yang Eui-ji,,".337 AVG, 130 G, 517 PA, 20 HR, 89 RBI, 50 BB, 63 SO, .939 OPS (FA in '26)",Catcher,2026,Batters,Doosan Bears
0.248,,24.0,,,,,72.0,,8.0,,,,,,0.721,,294.0,31.0,82.0,,,,,35.0,Yang Suk-hwan,,".248 AVG, 72 G, 294 PA, 8 HR, 31 RBI, 24 BB, 82 SO, .721 OPS",1B,2026,Batters,Doosan Bears
0.284,,10.0,,,,,91.0,,4.0,,,,,,0.686,,298.0,19.0,56.0,,,,,19.0,Park Jun-sun,,".284 AVG, 91 G, 298 PA, 4 HR, 19 RBI, 10 BB, 56 SO, .686 OPS",2B,2026,Batters,Doosan Bears
0.319,,11.0,,,,,35.0,,4.0,,,,,,0.911,,147.0,20.0,27.0,,,,,24.0,Ahn Jae-seok,,".319 AVG, 35 G, 147 PA, 4 HR, 20 RBI, 11 BB, 27 SO, .911 OPS",3B,2026,Batters,Doosan Bears
0.287,,62.0,,,,,134.0,,5.0,,,,,,0.722,,595.0,42.0,69.0,,,,,,Park Chan-ho,,".287 AVG, 134 G, 595 PA, 5 HR, 42 RBI, 62 BB, 69 SO, .722 OPS",SS,2026,Batters,Doosan Bears
0.213,,36.0,,,,,106.0,,3.0,,,,,,0.684,,225.0,25.0,57.0,,,,,32.0,Kim In-tae,,".213 AVG, 106 G, 225 PA, 3 HR, 25 RBI, 36 BB, 57 SO, .684 OPS",LF,2026,Batters,Doosan Bears
0.258,,61.0,,,,,132.0,,6.0,,,,,,0.703,,546.0,38.0,57.0,,,,,36.0,Jung Soo-bin,,".258 AVG, 132 G, 546 PA, 6 HR, 38 RBI, 61 BB, 57 SO, .703 OPS (FA in '26)",CF,2026,Batters,Doosan Bears
0.299,,43.0,,,,,136.0,,16.0,,,,,,0.814,,593.0,87.0,116.0,,,,,32.0,Cave,,".299 AVG, 136 G, 593 PA, 16 HR, 87 RBI, 43 BB, 116 SO, .814 OPS",RF,2026,Batters,Doosan Bears
0.241,,57.0,,,,,103.0,,13.0,,,,,,0.758,,407.0,50.0,96.0,,,,,38.0,Kim Jae-hwan,,".241 AVG, 103 G, 407 PA, 13 HR, 50 RBI, 57 BB, 96 SO, .758 OPS (FA in '26)",DH,2026,Batters,Doosan Bears
,,57.0,3.3529411764705883,,5.06,,30.0,,,,153.0,6.411764705882353,,9.0,,,,,109.0,,7.0,1.49,,37.0,Yang Hyeon-jong,,"5.06 ERA, 30 G, 7 W, 9 L, 153.0 IP, 57 BB, 109 SO, 1.49 WHIP (FA in '26)",Starter,2026,Pitchers,KIA Tigers
,,31.0,7.117346938775509,,7.94,,10.0,,,,39.2,9.642857142857142,,4.0,,,,,42.0,,1.0,1.82,,24.0,Lee Eui-lee,,"7.94 ERA, 10 G, 1 W, 4 L, 39.2 IP, 31 BB, 42 SO, 1.82 WHIP",Starter,2026,Pitchers,KIA Tigers
,,33.0,2.3741007194244603,,4.81,,24.0,,,,125.1,5.107913669064748,,7.0,,,,,71.0,,4.0,1.45,,26.0,Kim Do-hyun,,"4.81 ERA, 24 G, 4 W, 7 L, 125.1 IP, 33 BB, 71 SO, 1.45 WHIP",Starter,2026,Pitchers,KIA Tigers
,,41.0,2.2486288848263256,,2.25,,27.0,,,,164.1,8.3363802559415,,4.0,,,,,152.0,,8.0,1.07,,31.0,Naile,,"2.25 ERA, 27 G, 8 W, 4 L, 164.1 IP, 41 BB, 152 SO, 1.07 WHIP",Starter,2026,Pitchers,KIA Tigers
,,10.0,2.5568181818181817,,5.3,,18.0,,,,35.2,7.926136363636363,,2.0,,,,,31.0,,1.0,1.35,,24.0,Hwang Dong-ha,,"5.30 ERA, 18 G, 1 W, 2 L, 35.2 IP, 10 BB, 31 SO, 1.35 WHIP",Starter,2026,Pitchers,KIA Tigers
,,47.0,2.838926174496644,,3.62,,26.0,,,,149.0,10.208053691275168,,7.0,,,,,169.0,,11.0,1.15,,30.0,Oller,,"3.62 ERA, 26 G, 11 W, 7 L, 149.0 IP, 47 BB, 169 SO, 1.15 WHIP",Bullpen,2026,Pitchers,KIA Tigers
,,13.0,2.2456813819577737,,1.55,,45.0,7.0,,,52.1,5.182341650671785,,2.0,,,,,30.0,,3.0,0.97,,22.0,Seong Young-tak,,"1.55 ERA, 45 G, 3 W, 2 L, 7 HLD, 52.1 IP, 13 BB, 30 SO, 0.97 WHIP",Bullpen,2026,Pitchers,KIA Tigers
,,31.0,8.429003021148036,,6.48,,36.0,1.0,,,33.1,9.516616314199396,,1.0,,,,,35.0,1.0,1.0,2.13,,25.0,Han Jae-seung,,"6.48 ERA, 36 G, 1 W, 1 L, 1 SV, 1 HLD, 33.1 IP, 31 BB, 35 SO, 2.13 WHIP",Bullpen,2026,Pitchers,KIA Tigers
,,51.0,8.64406779661017,,6.58,,66.0,9.0,,,53.1,6.610169491525424,,4.0,,,,,39.0,,2.0,1.82,,23.0,Choi Ji-min,,"6.58 ERA, 66 G, 2 W, 4 L, 9 HLD, 53.1 IP, 51 BB, 39 SO, 1.82 WHIP",Bullpen,2026,Pitchers,KIA Tigers
,,27.0,4.05,,3.9,,72.0,28.0,,,60.0,8.25,,6.0,,,,,55.0,1.0,6.0,1.52,,32.0,Cho Sang-woo,,"3.90 ERA, 72 G, 6 W, 6 L, 1 SV, 28 HLD, 60.0 IP, 27 BB, 55 SO, 1.52 WHIP (FA in '26)",Bullpen,2026,Pitchers,KIA Tigers
,,11.0,2.911764705882353,,4.76,,57.0,7.0,,,34.0,9.0,,1.0,,,,,34.0,,3.0,1.38,,34.0,Lee Jun-young,,"4.76 ERA, 57 G, 3 W, 1 L, 7 HLD, 34.0 IP, 11 BB, 34 SO, 1.38 WHIP (FA in '28)",Bullpen,2026,Pitchers,KIA Tigers
,,20.0,2.5714285714285716,,3.34,,74.0,25.0,,,70.0,6.428571428571429,,5.0,,,,,50.0,1.0,7.0,1.2,,30.0,Jeon Sang-hyun,,"3.34 ERA, 74 G, 7 W, 5 L, 1 SV, 25 HLD, 70.0 IP, 20 BB, 50 SO, 1.20 WHIP",Setup,2026,Pitchers,KIA Tigers
,,18.0,2.6470588235294117,,3.79,,60.0,,,,61.2,10.588235294117647,,7.0,,,,,72.0,27.0,3.0,1.51,,25.0,Jung Hae-young,,"3.79 ERA, 60 G, 3 W, 7 L, 27 SV, 61.2 IP, 18 BB, 72 SO, 1.51 WHIP",Closer,2026,Pitchers,KIA Tigers
0.225,,26.0,,,,,103.0,,7.0,,,,,,0.673,,276.0,26.0,48.0,,,,,27.0,Han Jun-su,,".225 AVG, 103 G, 276 PA, 7 HR, 26 RBI, 26 BB, 48 SO, .673 OPS",Catcher,2026,Batters,KIA Tigers
0.303,,26.0,,,,,101.0,,21.0,,,,,,0.884,,410.0,65.0,78.0,,,,,32.0,Harold Castro,AAA,".303 AVG, 101 G, 410 PA, 21 HR, 65 RBI, 26 BB, 78 SO, .884 OPS (AAA)",1B,2026,Batters,KIA Tigers
0.321,,31.0,,,,,84.0,,3.0,,,,,,0.823,,308.0,46.0,35.0,,,,,37.0,Kim Sun-bin,,".321 AVG, 84 G, 308 PA, 3 HR, 46 RBI, 31 BB, 35 SO, .823 OPS (FA in '26)",2B,2026,Batters,KIA Tigers
0.275,,8.0,,,,,40.0,,6.0,,,,,,0.786,,160.0,17.0,36.0,,,,,23.0,Yoon Do-hyun,,".275 AVG, 40 G, 160 PA, 6 HR, 17 RBI, 8 BB, 36 SO, .786 OPS",3B,2026,Batters,KIA Tigers
0.309,,10.0,,,,,30.0,,7.0,,,,,,1.0,,122.0,27.0,23.0,,,,,23.0,Kim Do-young,,".309 AVG, 30 G, 122 PA, 7 HR, 27 RBI, 10 BB, 23 SO, 1.000 OPS (S+ Grade)",SS,2026,Batters,KIA Tigers
0.265,,14.0,,,,,47.0,,2.0,,,,,,0.71,,134.0,16.0,55.0,,,,,27.0,Kim Seok-hwan,,".265 AVG, 47 G, 134 PA, 2 HR, 16 RBI, 14 BB, 55 SO, .710 OPS",LF,2026,Batters,KIA Tigers
0.283,,34.0,,,,,105.0,,6.0,,,,,,0.793,,381.0,39.0,94.0,,,,,34.0,Kim Ho-ryeong,,".283 AVG, 105 G, 381 PA, 6 HR, 39 RBI, 34 BB, 94 SO, .793 OPS (FA in '26)",CF,2026,Batters,KIA Tigers
0.268,,42.0,,,,,82.0,,10.0,,,,,,0.825,,310.0,36.0,79.0,,,,,37.0,Na Sung-bum,,".268 AVG, 82 G, 310 PA, 10 HR, 36 RBI, 42 BB, 79 SO, .825 OPS",RF,2026,Batters,KIA Tigers
0.307,,67.0,,,,,133.0,,24.0,,,,,,0.928,,549.0,86.0,98.0,,,,,43.0,Choi Hyoung-woo,,".307 AVG, 133 G, 549 PA, 24 HR, 86 RBI, 67 BB, 98 SO, .928 OPS",DH,2026,Batters,KIA Tigers
